molecule_id,ind1,inda,logp,lumo,mutagenic
d34,0,0,3.24,-1.451,no
d35,1,0,3.06,-1.176,yes
d36,0,0,3.43,-1.24,no
d37,0,0,4.18,-1.428,yes
d38,0,0,3.77,-1.228,no
d39,0,0,1.87,-1.443,no
d4,1,0,4.69,-1.591,yes
d40,0,0,3.19,-1.266,no
d41,1,0,4.83,-1.6,yes
d42,0,0,1.77,-1.19,no
d43,1,0,4.69,-1.57,yes
d44,1,0,4.53,-1.265,yes
d45,0,0,1.46,-2.227,yes
d46,1,0,6.57,-1.804,yes
d47,1,0,5.02,-1.88,yes
d48,1,0,4.23,-1.616,yes
d49,1,0,2.29,-2.808,yes
d5,0,0,1.89,-1.59,no
d50,0,0,2.58,-1.932,yes
d51,1,0,6.01,-2.184,yes
d52,1,0,6.01,-2.189,yes
d53,1,0,3.35,-2.155,yes
d54,1,0,6.24,-1.464,yes
d55,0,0,3.43,-1.177,no
d56,1,0,2.52,-2.234,yes
d57,0,0,3.26,-2.242,yes
d58,1,0,3.01,-1.991,yes
d59,1,1,5.07,-2.14,yes
d6,1,0,3.92,-3.406,yes
d60,0,0,2.3,-2.468,yes
d61,1,0,4.68,-1.556,yes
d62,0,0,1.36,-0.923,no
d63,0,0,2.79,-3.768,yes
d64,1,0,2.84,-2.338,yes
d65,0,0,2.83,-1.952,no
d66,0,0,2.68,-0.959,no
d67,1,0,4.66,-1.536,yes
d68,1,0,5.87,-1.766,yes
d69,1,0,3.71,-1.929,yes
d7,0,0,3.99,-1.144,no
d70,0,0,0.47,-1.786,no
d71,1,0,6.01,-2.095,yes
d72,1,0,3.37,-1.448,yes
d73,0,0,2.68,-0.648,no
d74,1,0,5.87,-1.689,yes
d75,0,0,3.52,-1.87,yes
d76,0,0,2.24,-1.069,no
d77,0,0,2.68,-1.029,no
d78,0,0,4.27,-1.276,no
d79,1,0,4.73,-1.26,yes
d8,1,0,3.46,-1.437,yes
d80,1,0,4.69,-1.329,yes
d81,0,0,1.49,-1.937,yes
d82,1,0,4.18,-2.71,yes
d83,1,0,3.51,-1.145,yes
d84,0,0,2.61,-1.256,no
d85,1,1,5.07,-2.113,yes
d86,1,1,5.07,-1.918,yes
d87,1,0,3.83,-1.488,yes
d88,0,0,1.53,-1.605,no
d89,0,0,1.77,-1.028,no
d9,0,0,1.64,-0.982,no
d90,1,0,5.87,-1.62,yes
d91,1,0,3.01,-2.032,yes
d92,1,0,5.28,-1.208,yes
d93,1,0,5.87,-1.729,yes
d94,1,0,4.69,-1.585,yes
d95,0,0,2.55,-2.434,yes
d96,1,0,4.18,-2.871,yes
d97,1,0,3.95,-1.361,yes
d98,0,0,1.65,-1.598,no
d99,1,0,2.72,-2.159,yes
